25 100
12
1 8
2 200 1
2 100 8
2 700 4
2 600 6
3 200 5
2 300 1
2 800 2
2 200 3
3 600 3
3 100 4
2 400 8
100
1 20
2 4583776 1
2 9335179 20
2 794471794 10
2 2930245 15
2 1971572 5
2 9212847 7
2 3235942 12
3 1971572 14
2 6568711 4
2 8911646 17
2 572001 2
2 7630784 5
2 3518315 8
2 8766930 13
2 2144677 18
2 9544020 3
2 2988431 6
2 7378758 9
3 8766930 5
3 4583776 6
3 7378758 7
2 4978291 13
3 2144677 7
3 3518315 8
3 7630784 9
3 6568711 10
3 9335179 11
3 572001 12
3 8911646 13
2 62159412 20
2 7771631 17
3 9212847 12
2 2136364 8
2 4425671 1
3 2988431 11
3 4978291 12
3 794471794 13
3 62159412 14
2 928278 5
2 661177 10
3 928278 13
3 7771631 14
2 3190676 20
2 3738447 5
3 4425671 13
2 8145676 17
2 2178983 1
2 7864638 6
3 3190676 11
2 3682687 20
3 7864638 11
3 3235942 12
3 2930245 13
2 4494296 13
3 2178983 13
2 6329521 15
2 38935120 1
2 8160571 6
2 4077666 11
2 1257077 18
3 4077666 9
2 7757338 11
3 7757338 9
3 8145676 10
3 1257077 11
2 8892727 17
2 1961614 11
3 3738447 10
2 301711 4
3 8892727 10
3 4494296 11
3 9544020 12
2 8052264 17
2 6923891 13
2 4823290 2
2 19512429 18
2 5747260 3
3 5747260 8
3 301711 9
2 2898467 4
2 8242666 3
3 19512429 8
3 8160571 9
3 2136364 10
2 2987079 7
2 6555230 5
2 3136289 8
2 8444800 18
2 4331691 6
2 5339410 9
2 9033317 12
2 7238036 14
3 8444800 3
3 5339410 4
2 3402459 18
3 1961614 4
2 7054696 9
3 3402459 4
2 9516929 18
200
1 50
2 4517600 1
2 958859 50
2 9574642 25
2 2447557 37
2 7058292 13
2 7766447 43
2 1018470 7
2 8563017 19
3 1018470 43
2 7558174 7
3 2447557 43
3 7766447 44
2 593429389 37
3 593429389 44
2 5265618 37
2 2978853 43
2 338772 31
2 6303759 46
3 4517600 41
2 685557196 1
2 153447 4
2 3024638 10
2 1326657 16
3 685557196 38
3 6303759 39
3 7058292 40
2 3818802 46
2 7127941 13
2 1303092 22
3 958859 38
3 5265618 39
2 5553147 37
2 4388002 28
3 1303092 38
3 153447 39
3 3818802 40
3 2978853 41
2 4007245 50
3 3024638 41
2 9466386 43
2 89593061 1
2 3871508 46
2 5364047 4
2 5376006 10
2 6023017 22
3 5553147 36
2 2674110 37
2 1264769 34
3 2674110 35
2 4468726 38
2 328857 40
2 4820824 36
3 7127941 33
2 4430001 13
2 7074128 48
2 5770171 2
2 259938 5
2 3991925 8
2 1474404 11
2 7363039 14
2 914134 17
2 2772089 20
2 46904 23
3 259938 24
3 1474404 25
3 4820824 26
3 328857 27
2 6396955 40
2 3521218 36
2 5510485 5
2 4920388 11
3 8563017 24
3 4007245 25
2 563085771 18
3 89593061 25
3 5770171 26
2 9077486 1
3 1264769 26
2 7102959 33
2 8248486 2
2 67540361 26
2 9601032 29
2 8846163 34
2 9737050 41
2 3187149 44
3 9077486 20
2 4324882 50
3 5364047 20
2 2113923 3
2 785196746 1
2 2732669 4
2 734568204 6
2 9933863 9
3 67540361 16
2 1531140 26
2 1916927 12
2 673506550 15
3 734568204 14
3 4468726 15
2 5773125 38
2 3289588 6
2 6533167 19
2 2561766 21
3 9574642 12
2 511932423 24
2 8072990 25
2 8202337 27
2 6181056 30
3 7074128 9
2 9851385 48
3 8072990 9
2 1585166 25
2 9565073 32
3 5510485 8
3 4430001 9
3 338772 10
2 74319298 5
2 2240853 13
3 4920388 9
2 2143482 11
2 552429 31
3 1585166 8
2 9796658 25
3 46904 8
3 9796658 9
3 563085771 10
3 9737050 11
3 8248486 12
3 1916927 13
2 6324617 41
3 5773125 13
2 3277406 38
2 540485409 2
3 540485409 12
3 3187149 13
2 1006236 44
2 287607 2
2 3074766 12
2 1654481 18
3 3289588 10
3 3871508 11
2 1020300 46
2 52135 6
2 3382206 23
2 3281153 25
2 4541280 35
3 6023017 7
3 4541280 8
2 9798231 22
3 1006236 8
3 2143482 9
2 7925162 44
3 7102959 9
2 7365563 11
2 2367970 33
3 287607 8
2 2343827 2
3 9851385 8
2 3657664 48
2 1761003 35
2 9480530 37
2 5445925 39
2 9816532 42
2 806269967 45
2 4373446 47
2 8441385 49
3 6533167 1
2 6907646 19
3 3991925 1
3 7925162 2
3 1020300 3
3 7558174 4
2 893145 7
3 6181056 4
2 390382 8
2 8026097 30
3 390382 3
3 3277406 4
2 807596 8
2 2753223 38
2 9564510 44
3 4324882 2
3 9601032 3
3 2732669 4
3 785196746 5
2 624569 1
3 1531140 5
2 14010318 4
3 5445925 5
2 9601871 26
2 482438 29
3 2561766 4
3 8441385 5
3 552429 6
3 2240853 7
2 7392641 50
2 7860960 13
2 475019 21
3 9564510 5
300
1 50
2 1831640 1
2 7833059 50
2 9652906 25
2 7364701 37
2 8207852 13
2 5555975 43
2 4536990 7
2 221957473 19
2 6386496 31
2 4971243 46
2 6934098 4
2 2755493 10
3 6934098 39
3 4971243 40
3 1831640 41
3 7364701 42
2 6527692 37
2 4937959 1
3 8207852 41
2 9275460 14
2 3177919 46
3 4536990 40
2 5275324 5
3 221957473 40
3 9275460 41
3 7833059 42
3 2755493 43
2 2005999 15
3 4937959 43
3 6527692 44
2 4757026 37
2 7672117 10
3 6386496 43
3 5275324 44
2 8783360 31
2 3996843 1
2 7197842 20
3 3177919 42
3 8783360 43
3 4757026 44
3 5555975 45
2 6002429 50
2 9032076 37
2 4955687 43
2 1553470 31
2 6951937 5
3 9652906 41
2 9657206 25
2 6706201 46
2 7186520 28
2 196354403 34
2 5988394 40
2 3889245 7
2 7669228 12
3 7672117 35
2 6711797 9
3 7197842 35
3 6002429 36
3 5988394 37
2 8436310 20
2 1056377 40
2 2328888 17
2 4609475 22
2 124682 50
3 124682 33
2 6098459 50
2 9217602 3
3 6711797 32
2 7939571 9
2 2669306 48
2 9550701 10
2 2271036 13
2 7495831 18
2 1062638 23
2 755472497 26
2 339728 29
2 8846075 32
3 9657206 24
3 2669306 25
2 1268958 48
3 2328888 25
2 9380383 16
3 1056377 25
3 339728 26
3 196354403 27
3 9380383 28
3 8436310 29
2 9521812 40
2 5015759 34
3 6098459 28
2 2257420 20
3 2271036 28
3 7186520 29
2 2210995 28
2 9636922 13
3 9032076 28
3 2257420 29
3 9521812 30
2 6368983 38
2 9509166 40
2 3124785 20
3 4955687 28
3 1553470 29
3 9550701 30
2 9550562 43
3 2210995 30
3 7669228 31
2 4425313 29
2 5964864 11
2 9305579 36
3 5964864 29
3 1062638 30
2 327722126 11
3 8846075 30
2 4702735 31
2 4901318 24
2 6239657 16
3 9217602 28
2 7370110 3
2 2718529 27
2 2497568 32
3 6951937 26
2 7809753 5
2 430488 41
2 4221859 44
2 1759978 50
3 4425313 23
3 2497568 24
2 6637577 29
2 2445832 32
2 8096339 2
2 7977306 4
3 9305579 21
2 2416939 36
3 2718529 21
3 4702735 22
3 2445832 23
2 1383444 31
2 7944271 27
3 1268958 22
3 327722126 23
2 8623874 11
3 3889245 23
2 8892467 7
2 8697274 48
2 4883117 32
3 8697274 21
2 2074994 48
2 2474821 6
3 9509166 20
3 7939571 21
2 886762064 9
3 4609475 21
2 409576393 22
3 2005999 21
3 8096339 22
2 4200036 14
2 3260127 39
2 5189078 2
2 3056761 8
3 8892467 19
3 4901318 20
3 3996843 21
2 1850890 24
3 9550562 21
3 4221859 22
3 5015759 23
3 5189078 24
2 146517 43
3 4883117 24
2 462074 33
2 7732717 1
2 1923644 34
3 886762064 22
3 1850890 23
3 2474821 24
3 430488 25
2 501341551 24
3 462074 25
2 9902508 41
2 4713287 6
3 755472497 24
2 8385188 9
3 146517 24
3 2074994 25
2 1218219 43
3 4200036 25
3 7495831 26
3 6239657 27
3 6706201 28
2 8285514 16
3 8385188 28
2 3424219 46
3 1759978 28
3 8285514 29
2 7931710 16
2 267465985 50
2 5364704 18
2 2091403 48
3 1218219 26
